,source_url,site_name,site_url,title,img_url,description
14,https://www.joplinglobe.com/news/local_news/water-company-wades-into-property-acquisition-for-reservoir/article_14a2ef46-cb2f-5511-8977-500a902cae9b.html,Joplin Globe,https://www.joplinglobe.com/news/local_news/water-company-wades-into-property-acquisition-for-reservoir/article_14a2ef46-cb2f-5511-8977-500a902cae9b.html,Water company wades into property acquisition for reservoir,https://bloximages.chicago2.vip.townnews.com/joplinglobe.com/content/tncms/custom/image/da68c2f8-c3ab-11e5-94c7-b366ea8ae93c.jpg,"SPRINGFIELD, Mo. — Although Missouri American Water Co. isn't yet focused on acquiring land for its planned reservoir project in Newton County, the company has already purchased one property, with"
15,https://www.stuff.co.nz/dominion-post/news/116538160/blow-for-wellingtons-shelly-bay-with-most-new-councillors-opposed,Stuff,https://www.stuff.co.nz/dominion-post/news/116538160/blow-for-wellingtons-shelly-bay-with-most-new-councillors-opposed,Blow for Wellington's Shelly Bay with most new councillors opposed,https://resources.stuff.co.nz/content/dam/images/1/x/d/o/z/f/image.related.StuffLandscapeSixteenByNine.1420x800.1xdtf4.png/1571967612715.jpg,A majority of Wellington's new councillors have previously stated opposition to the Shelly Bay development as it now stands.
16,https://www.greensboro.com/news/national/iraqi-pm-addresses-the-nation-urges-protesters-to-go-home/article_34bcec8e-44af-5d70-95a5-02b20e2833ef.html,Greensboro News and Record,https://www.greensboro.com/news/national/iraqi-pm-addresses-the-nation-urges-protesters-to-go-home/article_34bcec8e-44af-5d70-95a5-02b20e2833ef.html,404 Error,https://bloximages.newyork1.vip.townnews.com/greensboro.com/content/tncms/custom/image/be6ce48e-f2f4-11e6-9c60-8f5f074fddfd.jpg,This page no longer exists or has been removed
17,https://www.paulickreport.com/news/thoroughbred-racing/oleksandra-kicks-clear-in-franklin-county/,Horse Racing News | Paulick Report,https://www.paulickreport.com/news/thoroughbred-racing/oleksandra-kicks-clear-in-franklin-county/,Oleksandra Kicks Clear In Franklin County  - Horse Racing News | Paulick Report,https://www.paulickreport.com/wp-content/uploads/2019/10/OLEKSANDRA-Buffalo-Trace-Franklin-County-G3-23rd-Running-10-11-19-R09-KEE-Finish-02-128x102.jpg,"Team Valor International's Oleksandra (AUS) found racing room between Morticia and the pacesetting Girls Know Best in deep stretch and went on to win the 23rd running of the $150,000 Buffalo Trace Franklin County (G3) for fillies and mares by two lengths over Morticia before a Friday afternoon crowd of 19,026 at Keeneland. Trained by […]"
18,https://www.expatica.com/ru/uncategorized/turkey-says-syria-assault-wont-stop-as-us-threatens-sanctions-110884/,Expat Guide to Russia | Expatica,https://www.expatica.com/ru/uncategorized/turkey-says-syria-assault-wont-stop-as-us-threatens-sanctions-110884/,Turkey says Syria assault 'won't stop' as US threatens sanctions - Expat Guide to Russia | Expatica,https://cdn.expatica.com/production/sites/11/2019/06/17053115/shutterstock_210753568.jpg,"Battles raged Friday as Turkish President Recep Tayyip Erdogan vowed to press an assault against Kurdish forces in Syria, dismissing “threats” from other countries while the US warned Ankara of fresh sanctions. President Donald Trump, whose order to pull back..."
19,https://www.jpost.com/Opinion/Israels-urgent-need-Stable-government-604469, The Jerusalem Post | JPost.com ,https://www.jpost.com/Opinion/Israels-urgent-need-Stable-government-604469,Israel’s urgent need: Stable government,"https://images.jpost.com/image/upload/f_auto,fl_lossy/t_JD_ArticleMainImageFaceDetect/447469",The US has come across in recent months as unwilling to confront Iran.
20,https://www.cnbc.com/2019/10/11/reuters-america-update-2-u-s-health-officials-say-vaping-illness-may-have-multiple-causes.html,CNBC,https://www.cnbc.com/2019/10/11/reuters-america-update-2-u-s-health-officials-say-vaping-illness-may-have-multiple-causes.html,UPDATE 2-U.S. health officials say vaping illness may have multiple causes,https://sc.cnbcfm.com/applications/cnbc.com/staticcontent/img/cnbc_logo.gif?v=1524171804,"In a conference call with reporters, health officials said more than one agent may be involved in the mysterious illness that has sickened more than 1,000 people in the United States. Anne Schuchat, principal deputy director of the U.S. Centers for Disease Control and Prevention, said on the call. On Tuesday, the CDC reported 1,299 confirmed or probable cases of..."
21,https://dailystandard.com/archive/2019-10-12/stories/38917/group-not-shy-about-gun-safety-legislation,The Daily Standard,https://dailystandard.com/archive/2019-10-12/stories/38917/group-not-shy-about-gun-safety-legislation,Group not shy about gun safety legislation,https://dailystandard.com/picts/2019/10/12/2019-10-12_1_full.jpg,CELINA - Local political activist Cheryl Davis said almost everyone she has talked to at various events for the last several months has agreed to sign a petition that would close state loopholes in ba ...
22,https://www.business-standard.com/article/pti-stories/see-now-campaign-will-be-soon-intensified-fred-hollows-foundation-119101200668_1.html,,https://www.business-standard.com/article/pti-stories/see-now-campaign-will-be-soon-intensified-fred-hollows-foundation-119101200668_1.html,'See Now' campaign will be soon intensified: Fred Hollows Foundation,https://bsmedia.business-standard.com/_media/bs/img/article/default/1191012/full-119101200668.jpg,"A public campaign that seeks to promote eye health care among people in Uttar Pradesh and is supported by legendary actor Amitabh Bachchan, is all set to be intensified after its eight-week pilot project in five districts of the state bore good"
23,https://www.straitstimes.com/asia/south-asia/india-china-agree-to-set-up-mechanism-to-tackle-trade-deficit,The Straits Times,https://www.straitstimes.com/asia/south-asia/india-china-agree-to-set-up-mechanism-to-tackle-trade-deficit,"India, China agree to set up mechanism to tackle trade deficit",https://www.straitstimes.com/sites/default/files/styles/x_large/public/articles/2019/10/13/ST_20191013_FDXIMODI_5181653.jpg?itok=Q7ud-m-T,"MAMALLAPURAM (Tamil Nadu) • India and China will set up a mechanism to tackle India's galloping trade deficit with the world's second-biggest economy, a top Indian diplomat said yesterday, following talks between Prime Minister Narendra Modi and China's President Xi Jinping.. Read more at straitstimes.com."
