,GlobalEventID,Day,ActionGeo_Fullname,Actor1Name,Actor2Name,SOURCEURL,investigate
0,879038985,20191011,,SAUDI ARABIA,IRAN,https://www.voanews.com/middle-east/oil-prices-jump-after-reports-iranian-tanker-explosion,False
1,878839289,20191011,"Washington, District of Columbia, United States",UNITED STATES,BRUSSELS,https://www.nbcnews.com/politics/white-house/ambassador-eu-called-trump-texting-no-quid-pro-quo-top-n1063841?cid=public-rss_20191011,False
2,879054281,20191011,,ISRAEL,PALESTINIAN,http://english.pnn.ps/2019/10/11/iof-attack-palestinian-protesters-in-gaza-49-hurt/,False
3,878890381,20191011,,INDUSTRY,SCHOOL,https://www.wgnsradio.com/town-hall-meeting-for-rutherford-county-schools-cms-53780,False
4,879079772,20191011,"La Jolla, California, United States",SAN DIEGO,,https://www.lajollalight.com/news/opinion/story/2019-10-11/san-diego-airport-expansion-and-jet-noise,False
5,878878806,20191011,China,CHINESE,PRESIDENT,https://thehimalayantimes.com/nepal/agreements-with-china-keeping-national-interest-at-centre-prime-minister-kp-sharma-oli/,False
6,878948939,20191011,,IRELAND,,https://www.talkofthetown.ie/adams-welcomes-plans-for-public-consultation-as-part-of-review-into-ardee-by-pass/,False
7,879006590,20191011,Jordan,CANADA,COMPANY,https://www.investmentexecutive.com/newspaper_/advisors-report-card/where-the-industry-is-succeeding-and-falling-short/,False
8,878929524,20191011,"Washington, District of Columbia, United States",UNITED STATES,,https://www.cbsnews.com/news/impeachment-inquiry-of-donald-trump-cbs-news-legal-analyst-explains-the-impeachment-process/,False
9,879068434,20191011,China,CHINA,,https://www.fool.com/investing/2019/10/11/heres-why-steel-stocks-erupted-for-big-gains-on-fr.aspx,False
10,878832630,20191011,"Lesbos, Perifereia Voreiou Aigaiou, Greece",THE UN,GREECE,https://www.sott.net/article/421775-German-Minister-warns-of-refugee-explosion-even-greater-than-2015-to-hit-Europe,False
11,879005235,20191011,,SCOTTISH,AIRLINE,https://www.campbeltowncourier.co.uk/2019/10/11/loganair-wins-contract-to-operate-flights/,False
12,878825235,20191011,"Philippine, Benguet, Philippines",PHILIPPINE,,https://reliefweb.int/report/philippines/save-children-calls-passage-teenage-pregnancy-bill-world-celebrates-international,False
13,879049159,20191011,,WORKER,SUPERIOR COURT,https://www.union-bulletin.com/news/courts_and_crime/man-accused-of-fatally-shooting-co-worker-appears-in-court/article_162f33dc-ec55-11e9-98c9-737a01f7dad1.html,False
14,878975878,20191011,"Delhi, Delhi, India",ADVOCATE,DELHI,https://barandbench.com/malvinder-singh-moves-delhi-hc-to-quash-fir-in-religare-finvest-case/,True
15,878978681,20191011,Libya,MANCHESTER,,https://www.thestar.co.uk/news/people/public-inquiry-set-be-launched-manchester-terror-attack-which-claimed-life-sheffield-woman-806184,False
16,879057468,20191011,"Hamilton County, Ohio, United States",UNITED STATES,CRIMINAL,https://www.wcpo.com/news/local-news/anderson-hs-student-fabricated-charge-against-teacher-sheriff-says,True
17,878942143,20191011,"Dublin, Dublin, Ireland",UNITED KINGDOM,,https://www.gazetteandherald.co.uk/news/national/17962700.barnier-hails-constructive-meeting-brexit-secretary-brussels/,False
18,879006322,20191011,Australia,,MANCHESTER,https://www.skiddle.com/news/all/Hellfire-returns-to-Manchester-in-2020-with-huge-line-up/54516/,False
19,878880554,20191011,"Boston, Massachusetts, United States",CHINESE,WASHINGTON,https://www.fxstreet.com/analysis/eur-usd-forecast-trumps-trade-summit-to-determine-next-moves-after-250-pip-october-rally-201910110554,False
20,878825125,20191011,Netherlands,THE NETHERLAND,TURKEY,http://www.donga.com/en/home/article/all/20191011/1871390/1/Turkey-launches-offensive-against-northeastern-Syria,False
21,878976290,20191011,,RUSSIA,COMMANDER,https://www.themoscowtimes.com/2019/10/11/russian-cosmonaut-alexei-leonov-first-human-to-perform-spacewalk-dies-a67701,False
22,879001456,20191011,Ukraine,UKRAINE,UNITED STATES,http://newsviewsnreviews.com/2019/10/rudy-giuliani-was-reportedly-retained-for-hundreds-of-thousands-of-dollars-by-an-associates-firm-fraud-guarantee/,False
23,878842690,20191011,Syria,TURKISH,SYRIA,https://www.dailymail.co.uk/news/article-7560997/Lindsey-Graham-tells-Russian-pranksters-Kurds-threat-contradicting-publicly-said.html,False
24,878913254,20191011,United Kingdom,UNITED KINGDOM,PUPIL,http://www.asahi.com/ajw/articles/AJ201910110041.html,False
25,879023023,20191011,"Tunis, (TS26), Tunisia",TUNISIA,,https://www.modernghana.com/news/960574/finalists-in-tunisia-presidential-runoff-to-face.html,True
26,878881203,20191011,"King County, Washington, United States",MAGISTRATE,UNITED STATES,https://q13fox.com/2019/10/10/ice-claims-king-county-sanctuary-policy-kept-them-from-deporting-2-men-now-accused-of-murder/,False
27,878833657,20191011,"Stockholm, Stockholm, Sweden",COLUMBUS,BUSINESS,https://www.realtid.se/platsannonser/business-oriented-legal-counsel-columbus-in-stockholm,False
28,879007339,20191011,"Naama, HaMerkaz, Israel",ISRAELI,RUSSIA,https://uk.reuters.com/article/uk-israel-russia-usa-prisoners/russia-jails-u-s-israeli-on-drug-charges-despite-netanyahu-plea-idUKKBN1WQ1SW,False
29,878965951,20191011,"Beijing, Beijing, China",TAMIL,CHINA,http://www.canindia.com/modi-turns-tourist-guide-takes-xi-around-mahabalipuram/,False
30,878936490,20191011,India,SENATE,CHIEF JUSTICE OF THE SUPREME COURT,https://www.nationalreview.com/2019/10/presidential-impeachment-fundamentally-political-process-as-founders-intended/,False
31,878954382,20191011,,UNITED STATES,,https://www.whio.com/news/crime--law/indicted-former-city-administrator-federal-court-today/8yQaMjky3eDPC5OxYq3J0J/,True
32,878952812,20191011,Botswana,AFRICA,BOTSWANA,https://www.mirror.co.uk/news/uk-news/everything-learnt-archie-first-tour-20554485,False
33,878861694,20191011,"Alabama, United States",SCHOOLHOUSE,ALABAMA,https://www.wacotrib.com/opinion/columns/guest_columns/earl-tilford-civility-begins-with-respect-for-the-president/article_b35d141e-9fa2-5dc4-935c-0968942048d6.html,False
34,879046280,20191011,South Africa,,SOUTH AFRICAN,http://www.thebiafraherald.co/2019/10/ipob-wins-south-africa-in-her-own-court.html,False
35,878857771,20191011,"Addis Ababa, (ET10), Ethiopia",STATE GOVERNOR,ETHIOPIAN,https://www.thisdaylive.com/index.php/2019/10/11/rivers-govt-ethiopia-airlines-agree-on-permanent-flights-from-port-harcourt/,False
36,879005029,20191011,South Korea,AMERICAN,SOUTH KOREA,http://www.carolinacoastonline.com/entertainment/music/article_bb1fd4d2-ec3c-11e9-8039-5b14a36bd601.html,False
37,879047151,20191011,Mexico,,CHINA,https://www.feedstuffs.com/markets/china-demand-dominating-global-beef-trade,False
38,878865811,20191011,,SCHOOL,POLICE FORCE,https://www.ajc.com/news/local-education/aps-police-student-report-abduction-attempt-during-recess-unfounded/VpLrlVvwE1oN5cXiM5KWRO/,False
39,878975190,20191011,"Delhi, Delhi, India",POLICE,,https://barandbench.com/malvinder-singh-moves-delhi-hc-to-quash-fir-in-religare-finvest-case/,True
40,878838814,20191011,Turkey,,TURKEY,https://www.nbcnews.com/politics/politics-news/lindsey-graham-duped-russian-pranksters-n1064806?cid=public-rss_20191011,False
41,879035153,20191011,"Alexandria, Al Iskandariyah, Egypt",COLLEGE,,https://www.echopress.com/business/announcements/4712131-On-the-Street-Oct.-11,False
