,GlobalEventID,Day,ActionGeo_Fullname,Actor1Name,Actor2Name,SOURCEURL,investigate
0,876533606,20191001,Hungary,FINNISH,,https://bbj.hu/politics/orban-proposes-diplomat-as-commissioner-designate_172007,False
1,876633663,20191001,"Hollywood, California, United States",PUBLICATION,,http://datechguyblog.com/tag/christopherharper/,False
2,876472117,20191001,"Tehran, Tehran, Iran",IRANIAN,OIL TANKER,https://www.tribuneindia.com/news/comment/strikes-on-oil-facilities-fuel-gulf-tensions/840682.html,False
3,876672301,20191001,Australia,PROTESTER,NEWS CORP,https://www.news.com.au/world/asia/hong-kong-protests-police-shoot-teen-protester/news-story/32ff2140bc4b343ef1b91db96c0324de,False
4,876509972,20191001,"Harare, Mashonaland East, Zimbabwe",HARARE,GOVERNMENT,https://www.newzimbabwe.com/government-council-task-force-to-tackle-worsening-harare-water-crisis/,False
5,876420710,20191001,United Kingdom,,,https://www.wiltshiretimes.co.uk/news/national/17937584.trust-driverless-cars-still-issue-uk-motorists-survey-suggests/,False
6,876667841,20191001,"Kremlin, Moskva, Russia",BELARUS,RUSSIA,https://dailytimes.com.pk/476719/is-belarus-distancing-itself-from-russia/,False
7,876630176,20191001,"New York, United States",INDUSTRY,REPRESENTATIVES,https://auburnpub.com/blogs/eye_on_ny/ny-reps-to-leaders-in-congress-repeal-or-extend-delay/article_c4c27ba6-0d31-53b8-8365-8dd444455f61.html,False
8,876480128,20191001,"Kuala Lumpur, Kuala Lumpur, Malaysia",KUALA LUMPUR,HIGH COURT,https://www.thestar.com.my/news/nation/2019/10/01/1mdb-trial-ex-ceo-suspects-he-was-removed-for-raising-concerns-over-rushed-transactions,False
9,876542119,20191001,"New York, United States",GANG,NEW YORK,https://blog.timesunion.com/capitol/archives/288117/a-m-roundup-rep-chris-collins-resigns-expected-to-plead-guilty-to-insider-trading-charges/,False
10,876567533,20191001,Russia,RUSSIAN,CRIMINAL,https://www.newsweek.com/former-ukraine-president-petro-poroshenko-fails-attend-court-approved-lie-detector-test-corruption-1462320,False
11,876668617,20191001,Mexico,NEW ZEALAND,MEXICAN,http://info.scoop.co.nz/Cartel_Food,False
12,876652987,20191001,"Nebraska, United States",NEBRASKA,MILITARY,https://www.airforcetimes.com/news/your-air-force/2019/10/01/offutt-identifies-security-forces-airman-who-died-along-with-his-wife-in-shooting-incident-at-their-home/,False
13,876476209,20191001,"Brookfield, New South Wales, Australia",PRESIDENT,UNITED STATES,https://www.linncountyleader.com/zz/news/20190930/trump-sought-australias-help-on-russia-probe-origins/1,True
14,876459964,20191001,"Umm Al-Fahm, H_efa, Israel",,ISRAELI,https://www.timesofisrael.com/arab-israeli-students-walk-out-of-school-to-protest-wave-of-violence/,False
15,876423964,20191001,"New York, United States",JOE BIDEN,UNITED STATES,https://www.fox13memphis.com/news/2020-democrats-in-dash-for-money-before-third-quarter-ends/992053727,False
16,876660238,20191001,"Miami, Florida, United States",VENEZUELA,,https://wqow.com/news/top-stories/2019/10/01/fbi-bloomer-native-kills-2-in-florida-to-join-resistance-group-fighting-venezuelan-government/,True
17,876574435,20191001,,STARBUCKS,POLICE,https://www.thegazette.com/subject/news/public-safety/cierra-lewis-iowa-city-who-shot-officer-with-bb-gun-faces-theft-charge-tip-jar-starbucks-20191001,False
18,876516605,20191001,"Lahore, Punjab, Pakistan",LAHORE,GOVERNMENT,https://tribune.com.pk/story/2069118/1-psp-pas-battle-focuses-power-service-delivery/,False
19,876663933,20191001,"Utah, United States",SENATE,,https://www.bostonglobe.com/opinion/2019/10/02/judge-who-hunted-for-truth-not-witches/fKKTbUa7DULdWgbxBzl88K/story.html,False
20,876555734,20191001,"Porbandar, Gujarat, India",AHMEDABAD,PRIME MINISTER,https://english.sakshi.com/national/2019/10/01/gandhi-jayanti-pm-to-declare-india-open-defecation-free,False
21,876456047,20191001,"Bali, Jawa Timur, Indonesia",,BALI,http://www.balidiscovery.com/news/when-tourists-leave-their-shame-at-home,False
22,876519198,20191001,"Maules Creek, New South Wales, Australia",REPRESENTATIVES,NEW SOUTH WALES,https://www.worldcoal.com/coal/01102019/barada-barna-people-get-a-taste-of-partnership-possibilities-on-visit-to-nsw/,False
23,876525316,20191001,"Tiananmen Square, Beijing, China",MILITARY,,https://www.gulftoday.ae/news/2019/10/01/china-marks-70-years-of-communist-rule,True
24,876434542,20191001,"Jammu, Jammu and Kashmir, India",SIKH,PAKISTAN,https://www.oneindia.com/india/to-hit-kashmir-and-punjab-together-isi-activates-its-k2-plan-2956243.html,False
25,876422324,20191001,India,GUJARAT,GUJARAT,https://gothamist.com/news/us-visit-indian-prime-minister-and-his-critics-fight-win-pr-war,False
26,876605851,20191001,"New York, United States",,EMPLOYEE,https://www.wktv.com/content/news/State-appeals-decision-to-reinstate-employee-accused-of-sexual-harassment-561871371.html,False
27,876598413,20191001,"Kaufman County, Texas, United States",PROSECUTOR,UNITED STATES,http://www.msn.com/en-us/news/us/jurors-can-consider-the-so-called-castle-doctrine-in-the-murder-trial-of-amber-guyger/ar-AAI5I3G,False
28,876433853,20191001,Australia,PRESIDENT,RUSSIA,https://www.snopes.com/ap/2019/09/30/trump-sought-australias-help-on-russia-probe-origins/,True
29,876533199,20191001,,,UNITED NATIONS,http://www.seri-sa.org/index.php/latest-news/952-invitation-seri-and-icj-workshop-on-realising-the-right-to-work-in-south-africa-1-october-2019,False
30,876460731,20191001,"Macao, Macau (general), Macau",MILITARY,,https://www.dailymail.co.uk/news/article-7523145/Chinas-70-year-parade-economic-military-might.html,True
31,876452819,20191001,"Sylvania, Ohio, United States",,,https://www.wtol.com/article/news/local/sylvania-educating-residents-on-pros-and-cons-of-toledo-water-agreement/512-ee77149d-4d94-4f62-97bb-f06717f1585b,False
32,876476418,20191001,"New York, United States",SOUTH KOREA,SOUTH KOREA,https://people.com/movies/angelina-jolie-kids-join-her-red-carpet-for-maleficent-premiere/,False
33,876447989,20191001,Ukraine,UKRAINE,PARSA,https://www.aol.com/article/news/2019/09/30/late-day-bombshells-erupt-as-trump-impeachment-inquiry-gets-underway/23823917/,False
34,876488219,20191001,"Sussex, East Sussex, United Kingdom",,,https://www.latintimes.com/why-prince-harry-wont-be-overshadowed-william-unlike-how-andrew-was-charles-446961,False
35,876551312,20191001,"Constantinople, Istanbul, Turkey",SYRIAC ORTHODOX,ROME,http://www.spc.rs/eng/ecumenical_patriarch_bartholomew_visits_syriac_orthodox_church_sweden,False
36,876638457,20191001,"Cohoes, New York, United States",FEDERAL COURT,NEW YORK,https://blog.timesunion.com/capitol/archives/288131/proposed-legislation-clarifies-removal-of-elected-officials/,False
37,876484158,20191001,,,ENTREPRENEUR,http://nairobiwire.com/2019/10/it-was-raining-cash-at-vera-sidikas-birthday-party-watch.html,False
38,876519654,20191001,"Texas, United States",,,https://www.marshallnewsmessenger.com/news/interstate-project-gets-positive-reception-in-washington-d-c/article_796ee7a4-e3b2-11e9-8942-b7f3c86e5447.html,False
39,876564832,20191001,Germany,FRANCE,UNITED ARAB EMIRATES,https://au.news.yahoo.com/stolen-golden-coffin-makes-return-york-cairo-131635523--spt.html,False
40,876649783,20191001,Ireland,ITALY,IRELAND,http://www.msn.com/en-nz/lifestyle/lifestyleroyals/queen-elizabeth-might-not-attend-princess-beatrices-wedding-next-year/ar-AAI7KOK,False
41,876588545,20191001,"Tiananmen, Beijing, China",,MILITARY FORCE,https://www.iol.co.za/news/world/pics-thousands-celebrate-the-70th-anniversary-of-new-china-33786386,True
42,876429761,20191001,India,PRIME MINISTER,,https://www.asiatimes.com/2019/09/article/modi-wants-nuclear-path-for-india-to-go-green/,False
43,876462163,20191001,"Canberra, Australian Capital Territory, Australia",,,http://www.2ca.com.au/news/canberra/9223,False
44,876505258,20191001,"Edinburgh, Edinburgh, City of, United Kingdom",GOVERNMENT,,https://www.pressandjournal.co.uk/fp/news/highlands/1854883/battlefield-where-great-montrose-fought-for-sale/,False
45,876454480,20191001,"Sydney, New South Wales, Australia",PRESIDENT,RUSSIA,https://www.aljazeera.com/news/2019/10/trump-sought-australia-russia-probe-origins-191001014927441.html,True
46,876598578,20191001,Guyana,COAST GUARD,FRENCH,https://gcaptain.com/two-more-bodies-recovered-in-search-for-bourbon-rhode-crew/,False
47,876627449,20191001,,BANK,,https://www.business-standard.com/article/economy-policy/ed-scores-in-probing-high-profile-cases-but-lags-in-conviction-rate-119100101654_1.html,True
48,876660239,20191001,"Miami, Florida, United States",VENEZUELA,MIAMI,https://wqow.com/news/top-stories/2019/10/01/fbi-bloomer-native-kills-2-in-florida-to-join-resistance-group-fighting-venezuelan-government/,True
49,876530466,20191001,"Johannesburg, Gauteng, South Africa",AFRICA,PARLIAMENT,https://www.thesouthafrican.com/news/herman-mashaba-to-address-illegal-immigration-in-south-africa/,False
50,876633642,20191001,,HOUSE OF ASSEMBLY,KAMPALA,http://www.virginislandsnewsonline.com/en/news/speaker-willock-leads-vi-delegation-parliamentary-conference-in-uganda/,False
51,876613799,20191001,"Toronto, Ontario, Canada",CANADA,COMMUNITY,https://www.mynorthbaynow.com/48721/ndp-releases-platform-for-northern-ontario/,True
52,876450303,20191001,Pakistan,,,https://www.dnaindia.com/analysis/editorial-dna-edit-sikh-outreach-govt-has-managed-to-assuage-feelings-of-the-community-2793565,False
53,876462960,20191001,"Deseret, Utah, United States",SALT LAKE CITY,WORLD FOOD PROGRAM,https://www.deseret.com/2019/9/30/20890866/latter-day-saint-charities-commitment-un-world-food-programme-famine-crises,False
54,876662248,20191001,Ukraine,,PRESIDENT,https://www.theadvocate.com/baton_rouge/news/politics/article_ab484b2e-e468-11e9-b4d7-37d4bb89c914.html,False
55,876488454,20191001,"Florida, United States",DOCTOR,FLORIDA,https://aleteia.org/2019/10/01/when-my-wife-and-the-little-flower-joined-forces-and-gave-me-a-miracle/,False
56,876515794,20191001,Tanzania,AFRICA,DEMOCRATIC REPUBLIC OF CONGO,http://www.capetalk.co.za/articles/362250/south-africans-by-nature-not-xenophobic-special-envoys-tell-west-african-states,False
57,876666338,20191001,"Apaches, Chihuahua, Mexico",NEWSPAPER,APACHE,https://truewestmagazine.com/article/the-glorious-tragic-last-days-of-geronimo/,False
58,876592335,20191001,"California, United States",MEXICO,UNITED STATES,https://people.com/crime/calif-parents-said-boy-4-drowned-in-pool-but-now-theyre-accused-of-murdering-him/,False
59,876528994,20191001,"Jackson County, Kansas, United States",KANSAS,AUTHORITIES,https://www.journalnow.com/news/national/shot-wounded-at-kansas-city-area-swingers-club/article_b1227fbd-77da-5ec6-937d-3663022f5f35.html,False
60,876451822,20191001,"Bhandup, Maharashtra, India",POLICE,,https://www.hindustantimes.com/mumbai-news/pmc-bank-fraud-cops-register-fir-form-sit-to-conduct-probe/story-mJi4Asr0rNFxHRKlSiwzsN.html,True
61,876528497,20191001,,LOCAL MEDIA,POLICE,https://www.independent.ie/world-news/fierce-clashes-hit-hong-kong-amid-protests-on-chinas-national-day-38551085.html,False
62,876531535,20191001,"Beijing, Beijing, China",TAIWAN,,https://theprint.in/world/xi-jinping-chinas-rise-unstoppable-even-as-hong-kong-violence-escalates/299523/,False
63,876620497,20191001,"Klukwan, Alaska, United States",ALASKA,COMMUNITY,https://www.cbc.ca/news/canada/north/3d-technologies-recreating-cultural-objects-1.5303596,False
64,876426909,20191001,"Wichita, Kansas, United States",UNITED STATES,,https://www.kwch.com/content/news/US-Attorney-General-William-Barr-making-stops-in-Topeka-Wichita-Wednesday-561819951.html,False
65,876651545,20191001,"Sussex, East Sussex, United Kingdom",AFRICA,MALAWI,https://www.hellomagazine.com/royalty/2019100178509/meghan-markle-opens-up-about-missing-prince-harry/,False
66,876470529,20191001,,UNITED STATES,DEPUTY,https://www.click2houston.com/news/local/hundreds-gather-at-vigil-to-mourn-deputy-sandeep-dhaliwal,False
67,876592383,20191001,United States,BLACKROCK,INVESTOR,https://www.heraldstandard.com/business_ap/blackrock-to-report-third-quarter-earnings-on-october-th/article_91a5777c-97e6-5359-9d55-13045b12cb3b.html,False
68,876661588,20191001,"New Hampshire, United States",PRESIDENT,,https://www.wmur.com/article/warren-biden-in-virtual-dead-heat-in-saint-anselm-college-poll-of-nh-primary-voters/29328245,False
69,876640910,20191001,"Oklahoma, United States",EMPLOYEE,,https://www.usatoday.com/story/news/politics/2019/10/01/opioid-crisis-dea-allowed-massive-drug-production-despite-overdoses/3829078002/,True
70,876561540,20191001,"Iowa, United States",UNITED STATES,,https://www.thegazette.com/subject/news/health/options-for-maternal-care-dwindle-in-rural-iowa-20191001,False
71,876598550,20191001,"Kremlin, Moskva, Russia",SPOKESMAN,RUSSIA,https://tass.com/world/1080806,False
72,876473461,20191001,,DIRECTOR GENERAL,NIGERIA,https://www.withinnigeria.com/2019/10/01/osinbajo-ortom-meet-over-benue-ebonyi-land-crisis-2/,False
73,876603947,20191001,Yemen,,GOVERNMENT,https://www.alaraby.co.uk/english/indepth/2019/10/1/yemen-in-focus-houthis-mass-offensive-a-propaganda-ploy,False
74,876445297,20191001,"Massachusetts, United States",SENATE PRESIDENT,,https://www.telegram.com/news/20190930/last-years-state-spending-choices-still-unresolved-on-beacon-hill,True
75,876589965,20191001,"New Jersey, United States",UNITED STATES,,https://www.pennlive.com/news/2019/10/ex-vp-who-scammed-rite-aid-out-of-11m-begs-for-early-release-from-federal-prison.html,False
76,876422145,20191001,,PRESIDENT,RUSSIA,https://www.newscentermaine.com/article/news/nation-world/trump-sought-australias-help-on-russia-probe-origins/97-4e34e6a1-62b4-4cac-9b2b-35bb790e20d6,True
77,876579394,20191001,"Brasilia, Distrito Federal, Brazil",BRAZIL,GOVERNMENT,https://wtaq.com/news/articles/2019/oct/01/brazil-senates-pension-reform-timetable-in-doubt-says-government-leader-in-upper-house/942825/,False
78,876541420,20191001,"Texas, United States",,ISRAEL,https://www.newscentermaine.com/article/news/crime/brother-of-bangor-murder-victim-finds-justice/97-e59a5cf7-d1e1-4d1b-a94d-446a561160c5,False
79,876564789,20191001,"New York, United States",EGYPT,,https://www.nbcnewyork.com/news/local/Egypt-Golden-Coffin-Stolen-New-York-Metropolitan-Museum-of-Art-561866701.html,True
80,876527645,20191001,Russia,,MILITARY,https://www.michigansthumb.com/news/world/article/China-parades-its-latest-missiles-in-challenge-to-14481953.php,False
81,876564593,20191001,"Delaware County, Pennsylvania, United States",POLICE,,https://patch.com/pennsylvania/levittown/missing-teen-being-sought-bristol,False
82,876536374,20191001,"Sussex, Limpopo, South Africa",BRITAIN,AFRICA,https://uk.reuters.com/article/britain-royals-malawi/britains-prince-harry-to-visit-malawi-health-centre-idUKKBN1WG2WL,False
83,876478258,20191001,,MILITARY,,http://www.msn.com/en-nz/news/world/ultimate-doomsday-nuke-that-can-reach-us-in-30-minutes-unveiled-at-china-day-parade/ar-AAI680T,True
84,876485071,20191001,,IRAQ,BRITISH,https://www.dailymail.co.uk/news/article-7523539/US-demands-UK-takes-600-British-ISIS-supporters-families-Syrian-refugee-camps.html,False
85,876620080,20191001,Japan,DISNEY,UNITED STATES,http://www.msn.com/en-nz/entertainment/news/star-wars-director-explains-kylo-ren-helmet-repair/ar-AAI7Gsz,False
86,876481936,20191001,,,,https://www.eppingforestguardian.co.uk/news/national-news/17937610.trump-sought-australian-pms-help-russia-probe/,True
87,876597732,20191001,"North Elementary School, New York, United States",COMMUNITY,UNITED STATES,https://www.columbiabasinherald.com/local_news/20191001/moses_lake_school_board_discusses_safety_and_security,False
88,876521836,20191001,"Delhi, Delhi, India",UNITED KINGDOM,,https://yourstory.com:443/herstory/2019/09/shalini-gupta-spouse-entrepreneur-ashish-bhatia-labs-advisor,False
89,876630490,20191001,"London, London, City of, United Kingdom",BERLIN,ALBERT,https://time.com/5684504/einstein-england/,True
90,876550185,20191001,"Grand View, California, United States",SOUTH KOREA,CHINA,http://www.comunicati.net/comunicati/aziende/informatica/information_technology/600843.html,False
91,876448319,20191001,,WASHINGTON,UKRAINE,https://www.cnn.com/2019/09/30/politics/kamala-harris-trump-twitter-cnntv/,False
92,876445900,20191001,"Massachusetts, United States",UNITED STATES,,https://www.telegram.com/news/20190930/last-years-state-spending-choices-still-unresolved-on-beacon-hill,True
93,876654605,20191001,"Durban, KwaZulu-Natal, South Africa",PUNE,AFRICA,https://www.hindustantimes.com/india-news/a-biographer-s-journey-in-search-of-the-mahatma/story-tCls3DfiWlQGHbCucOTKhK.html,False
94,876667873,20191001,"Brisbane, Queensland, Australia",COMPANY,TARA,https://www.thechronicle.com.au/news/woman-clocked-46kmh-over-limit-warrego-highway/3844272/,False
95,876540779,20191001,United Kingdom,IRAN,IRAN,https://www.sandiegouniontribune.com/news/nation-world/story/2019-10-01/iran-court-sentences-individual-to-death-on-spying-charges,False
96,876422183,20191001,Russia,PRESIDENT,UNITED STATES,https://www.fairfieldcitizenonline.com/news/crime/article/Trump-sought-Australia-s-help-on-Russia-probe-14480962.php,True
97,876651439,20191001,,,YMCA,https://www.mytimminsnow.com/40960/charges-laid-in-sept-19-bomb-scare/,False
98,876604050,20191001,"Jawzjan, Jowzjan, Afghanistan",KANDAHAR,,https://www.aa.com.tr/en/asia-pacific/taliban-intensifies-attacks-in-afghanistan-after-polls/1598925,False
99,876509741,20191001,"Mogadishu, Banaadir, Somalia",SOMALI,,https://af.reuters.com/article/topNews/idAFKBN1WG30P-OZATP,True
100,876627734,20191001,"Gauteng, Gauteng, South Africa",,GAUTENG,https://ewn.co.za/2019/10/01/lesufi-says-tremendous-progress-made-with-school-twinning-programme,False
101,876646920,20191001,"Emory University, Georgia, United States",,POPULATION,https://wcfcourier.com/news/national/former-president-jimmy-carter-celebrates-th-birthday/article_513cffae-81e0-5508-be1c-c984d7e9f370.html,False
102,876546477,20191001,"Macomb, Illinois, United States",CRIMINAL,,https://www.theoaklandpress.com/news/copscourts/macomb-oakland-county-individuals-charged-in-health-care-scam/article_14df5ee4-e78b-52f2-b417-eb33182a5342.html,True
103,876566918,20191001,North Korea,GOVERNMENT,NORTH KOREA,https://www3.nhk.or.jp/nhkworld/en/news/20191001_58/,False
104,876454808,20191001,"Wellington, New Zealand (general), New Zealand",WELLINGTON,GAMBIA,http://business.scoop.co.nz/2019/10/01/rural-land-sale-cleared-to-expand-bathursts-coal-mine/,False
105,876536392,20191001,,UNITED KINGDOM,,https://www.thesun.co.uk/news/9987662/who-jennifer-arcuri-boris-johnson-model-lover/,False
106,876627464,20191001,"North Andover, Massachusetts, United States",BANK,SOVEREIGN,https://patch.com/massachusetts/danvers/danvers-police-arrest-bank-robbery-suspect-malden,False
107,876433492,20191001,Japan,PROFESSOR,,https://www.techdirt.com/articles/20190920/09484143031/new-study-effects-manga-piracy-show-piracys-effects-are-more-nuanced-than-good-bad.shtml,False
108,876574277,20191001,"Indiana, United States",JUDGE,INDIANA,https://www.lifenews.com/2019/10/01/judge-allows-missouri-abortion-clinics-to-kill-babies-just-because-they-have-down-syndrome/,False
109,876624674,20191001,"Alaska, United States",COMPANY,,https://www.undercurrentnews.com/2019/10/01/bbnc-investment-in-blue-north-clipper-closes/,True
110,876580331,20191001,"Maseru, Maseru, Lesotho",LESOTHO,,http://www.thepost.co.ls/news/ex-alliance-workers-in-court-for-fraud/,True
111,876628800,20191001,Ukraine,OVAL OFFICE,UNITED STATES,https://hiphopwired.com/822735/cnn-dragged-for-omitting-congress-women-of-color-in-leading-impeachment-inquiry-against-trump/,False
112,876422182,20191001,Australia,PRESIDENT,UNITED STATES,https://journalstar.com/news/national/govt-and-politics/trump-sought-australia-s-help-on-russia-probe-origins/article_650ac27d-b75d-5de6-8cf8-fb4f7886f152.html,True
113,876546105,20191001,United States,,AMERICAN,http://sunshinestatenews.com/story/neal-dunn-wants-stop-afge-offering-cash-enlist-va-employees,False
114,876657725,20191001,"Lisbon, Lisboa, Portugal",PORTUGAL,PROSECUTOR,http://www.spacewar.com/reports/India_defends_right_to_buy_Russian_arms_on_US_trip_999.html,True
115,876597255,20191001,"Michigan, United States",,PRIEST,https://www.argus-press.com/news/community/durand/article_cb4bfdf6-e460-11e9-82e7-4732ba2ccaf1.html,False
116,876668794,20191001,"Tamarac, Florida, United States",,,https://www.tallahassee.com/story/news/local/2019/10/01/dan-markel-murder-luis-rivera-points-to-sigfredo-garcia-shooter/3833852002/,False
117,876502481,20191001,"Sydney, New South Wales, Australia",SCHOOL,SYDNEY,https://iopscience.iop.org/article/10.1088/1367-2630/ab4473,False
118,876463752,20191001,"Bridport, Tasmania, Australia",PRESIDENT,,https://www.bridportnews.co.uk/news/national/17937610.trump-sought-australian-pms-help-russia-probe/,True
119,876447142,20191001,"Roseland, RhôAlpes, France",FRANCE,,https://www.cbc.ca/news/canada/windsor/what-work-to-rule-means-for-windsor-essex-students-families-1.5303687,False
120,876470382,20191001,"Houston, Texas, United States",,TEXAS,https://www.recordnet.com/news/20190930/heartbreaking--total-tragedy-sj-sikh-community-honors-slain-texas-deputy,False
121,876628417,20191001,"Florida, United States",GUERRILLA,,https://www.orlandoweekly.com/Blogs/archives/2019/10/01/florida-senators-marco-rubio-and-rick-scott-seek-answers-over-offensive-museum-art,False
122,876589773,20191001,Serbia,SERBIA,YEREVAN,http://en.rfi.fr/20191001-russia-s-eurasian-economic-union-threat-eu/,False
123,876516544,20191001,"Kabunduli, Nkhata Bay, Malawi",,PRESIDENT,https://allafrica.com/stories/201910010229.html,False
124,876594853,20191001,"Dar Es Salaam, Dar es Salaam, Tanzania",UNITED KINGDOM,TANZANIAN,https://www.telegraph.co.uk/global-health/science-and-disease/uk-holidaymakers-warned-possible-ebola-threat-tanzania/,False
125,876624600,20191001,"Rustenburg, North-West, South Africa",,PRESIDENT,https://www.timeslive.co.za/news/south-africa/2019-10-01-batohi-wants-ramaphosa-to-deal-with-capacity-issues-at-npa-hawks/,False
126,876588528,20191001,"Shen Shi, Zhejiang, China",CHINESE,MILITARY FORCE,https://www.iol.co.za/news/world/pics-thousands-celebrate-the-70th-anniversary-of-new-china-33786386,True
127,876657383,20191001,"Lisbon, Lisboa, Portugal",PROSECUTOR,,http://www.spacewar.com/reports/India_defends_right_to_buy_Russian_arms_on_US_trip_999.html,True
128,876633121,20191001,"Carbondale, Illinois, United States",COMMUNITY,EMPLOYER,https://www.kfvs12.com/2019/10/01/city-carbondale-host-job-fair/,False
129,876497243,20191001,"Buhari, Kano, Nigeria",LAW ENFORCEMENT AGENCIES,,https://www.premiumtimesng.com/news/top-news/355305-nigeria-to-repatriate-n108-billion-abacha-loot-from-u-s-buhari.html,True
130,876582542,20191001,"Renukoot, Uttar Pradesh, India",,,https://timesofindia.indiatimes.com/city/varanasi/up-nagar-panchayat-chairmans-killing-leaves-renukoot-tense-in-sonbhadra/articleshow/71392945.cms,False
131,876649104,20191001,"Damascus, Dimashq, Syria",,DAMASCUS,http://www.baltimoresun.com/maryland/carroll/news/crime/cc-caron-assault-20191001-sdhbab5ylrfb3mbe6hxiohu55u-story.html,False
