,GlobalEventID,Day,ActionGeo_Fullname,Actor1Name,Actor2Name,SOURCEURL,investigate
0,877618923,20191006,Ukraine,UKRAINE,,https://www.msn.com/en-ca/news/world/pompeo-continues-europe-tour-dogged-by-impeachment-inquiry/ar-AAIjpDa,True
1,877646167,20191006,French Guiana,,COLOMBIA,https://www.news.com.au/world/breaking-news/vatican-holding-threeweek-synod/news-story/88caa43144693c6625e6e46d8a333c0b,False
2,877722430,20191006,"Aqaba, Al Aqabah, Jordan",KUWAIT,SPECIAL OPERATIONS,https://www.businessinsider.com.au/jordans-special-forces-are-some-of-the-regions-best-2015-2,False
3,877684789,20191006,"Waller County, Texas, United States",UNITED STATES,,https://m.journalnow.com/news/trending/in-rural-texas-black-students-fight-for-voting-access-conjures/article_c61146f9-762e-5c0e-b808-50cd65bbafd7.html,False
4,877736063,20191006,Jamaica,JAMAICAN,,https://morningstaronline.co.uk/article/b/hostile-environment-inquests-open-deaths-two-migrants,True
5,877623634,20191006,"Wisconsin, United States",WISCONSIN,,https://madison.com/news/local/crime-and-courts/oshkosh-man-gets-year-in-prison-for-sexual-assault-of/article_48aceb13-4a9a-5aec-964a-bb00dfb2a1c4.html,False
6,877728223,20191006,United States,NORTH KOREAN,UNITED STATES,https://sputniknews.com/asia/201910061076975759-pyongyang-sets-year-end-deadline-for-us-to-make-new-proposals-on-denuclearisation/,False
7,877703399,20191006,"Melbourne, Victoria, Australia",AUSTRALIA,ISRAEL,https://www.timesofisrael.com/psychiatrist-tied-to-deputy-health-minister-probe-removed-from-malka-leifer-case/,False
8,877733960,20191006,"Uttar Pradesh, Uttar Pradesh, India",MAGISTRATE,POLICE,https://www.thehindu.com/opinion/editorial/sedition-annoyance/article29611767.ece,True
9,877657105,20191006,"Dogar, Punjab, Pakistan",RAWALPINDI,PAKISTAN,https://tribune.com.pk/story/2073109/1-rawalpindi-gets-safe-water-authority/,False
10,877690523,20191006,Greece,GREECE,CONGRESS,https://news.am/eng/news/537349.html,False
11,877642191,20191006,"North Carolina, United States",VIETNAM,UNITED STATES,http://www.carolinacoastonline.com/entertainment/art/article_23c4ead8-e772-11e9-89cf-23d6f65fdbb1.html,False
12,877641629,20191006,"Georgia, United States",MINORITIES,,https://www.houstonherald.com/news/state/columbia/mu-professor-to-act-as-expert-consultant-for-supreme-court/article_90c80309-03c3-5d78-8018-ded4a31c8961.html,False
13,877654044,20191006,"Nairobi, Nairobi Area, Kenya",NAIROBI,,https://insidetrade.co/best-kenyan-forex-traders/,False
14,877709739,20191006,Germany,UNITED STATES,PRESIDENT,https://americanfreepress.net/the-trayvon-martin-hoax/,False
15,877628878,20191006,"Paris, France (general), France",REUTERS,PARIS,https://in.news.yahoo.com/french-anti-terror-inquiry-finds-145513816.html,True
16,877618924,20191006,Ukraine,UKRAINE,BENGHAZI,https://www.msn.com/en-ca/news/world/pompeo-continues-europe-tour-dogged-by-impeachment-inquiry/ar-AAIjpDa,True
17,877694086,20191006,"Abuja, Abuja Federal Capital Territory, Nigeria",,CAMEROON,http://www.cameroon-info.net/article/cameroon-presidential-pardon-after-release-of-maurice-kamto-and-co-barrister-agbor-balla-urges-353592.html,False
18,877626121,20191006,"Washington, District of Columbia, United States",,MILITARY,https://www.nbcnews.com/news/us-news/military-suicides-reach-record-high-among-active-duty-members-n1059576?cid=public-rss_20191006,False
19,877664101,20191006,"Melbourne, Victoria, Australia",AUSTRALIA,KING,https://au.news.yahoo.com/prisoner-swap-may-have-been-behind-release-of-couple-in-iran-075301708.html,False
20,877714931,20191006,Maldives,,MALDIVE,http://www.adaderana.lk/news/58201/sri-lanka-craft-sector-wins-free-insurance-cover-for-first-time,False
21,877629752,20191006,,GREECE,BENGHAZI,https://www.staradvertiser.com/2019/10/05/breaking-news/pompeo-blasts-ukraine-critics-for-silly-gotcha-game/,True
22,877631308,20191006,"Pyongyang, P'yongyang-si, North Korea",SWEDEN,NORTH KOREA,https://www.globalsecurity.org/wmd/library/news/dprk/2019/dprk-191005-presstv01.htm,False
23,877708961,20191006,"Vancouver, British Columbia, Canada",CANADA,,https://www.kamloopsbcnow.com/watercooler/news/news/Provincial/B_C_cabinet_minister_Jinny_Sims_steps_aside_amid_RCMP_investigation/,True
24,877650379,20191006,"Paris, France (general), France",PROSECUTOR,,https://edmontonsun.com/news/crime/prosecutor-finds-signs-of-radicalization-in-paris-police-hq-knife-attacker/wcm/7cb6d3f2-e0ce-4e03-8eba-1b1880dcd2d0,True
25,877617621,20191006,Libya,OBAMA,BENGHAZI,https://hamodia.com/2019/10/05/pompeo-blasts-ukraine-critics-silly-gotcha-game/,True
26,877729485,20191006,"Port-Au-Prince, Ouest, Haiti",HAITI,,https://www.nbcnews.com/news/us-news/christian-charity-paid-alleged-sex-abuse-victims-former-haiti-missionary-n1049916,True
27,877755088,20191006,Ethiopia,ETHIOPIA,VILLAGE,https://africatimes.com/2019/10/06/djibouti-needs-help-with-climate-response-unocha-lead-says/,False
28,877642055,20191006,Libya,UKRAINE,BENGHAZI,https://vosizneias.com/2019/10/05/pompeo-blasts-ukraine-critics-for-silly-gotcha-game/,True
29,877681351,20191006,"Yair, HaDarom, Israel",MEDIA,ISRAEL,https://www.jewishpress.com/indepth/columns/jonathan-tobin/netanyahus-fate-and-the-future-of-israeli-democracy/2019/10/06/,False
30,877651512,20191006,"Seoul, Soul-t'ukpyolsi, South Korea",SOUTH KOREA,UNITED STATES,https://www.nytimes.com/reuters/2019/10/06/world/asia/06reuters-northkorea-usa-sweden.html,False
31,877743491,20191006,United Kingdom,,UNITED KINGDOM,https://www.southwestfarmer.co.uk/news/17947317.sainsburys-lays-100-free-range-egg-commitment/,False
32,877750186,20191006,"White House, District of Columbia, United States",SENATE,,https://www.theepochtimes.com/lindsey-graham-vows-to-have-whistleblowers-testify-publicly-if-impeachment-goes-through_3107896.html,False
33,877648278,20191006,"Washington, District of Columbia, United States",TURKEY,UNITED STATES,http://www.newstribune.com/news/international/story/2019/oct/05/us-turkey-conduct-northeast-syria-patrol-amid-new-concerns/798311/,False
34,877709317,20191006,"Killeedy, Limerick, Ireland",IRELAND,,https://www.limerickleader.ie/news/news/483726/broadway-magic-making-return-visit.html,False
35,877665853,20191006,"Khulna, Khulna, Bangladesh",,BANGLADESH,https://zeenews.india.com/india/sonia-gandhi-manmohan-singh-meet-bangladesh-pm-sheikh-hasina-discuss-bilateral-ties-2238717.html,False
36,877715335,20191006,"Visalia, California, United States",UNITED STATES,,https://www.foxnews.com/us/dna-california-cold-case-murder-sexual-assaults-police,False
37,877628139,20191006,"Northamptonshire, Northamptonshire, United Kingdom",BRITAIN,,https://www.thenews.com.pk/print/537200-uk-urges-us-to-return-diplomat-spouse-involved-in-fatal-accident,False
38,877743497,20191006,"Lake Charles, Louisiana, United States",,PRESIDENT,https://www.theadvertiser.com/story/news/local/2019/10/06/donald-trump-jr-louisiana-elections-ralph-abraham-eddie-rispone/3892542002/,False
39,877701730,20191006,,CRIMINAL,AUTHORITIES,https://www.postguam.com/the_globe/nation/man-accidentally-kills-son-in-law-in-birthday-tragedy/article_2b4800a6-e7c2-11e9-ac67-db856abd55f6.html,False
40,877628020,20191006,India,POLICE,,https://www.economist.com/finance-and-economics/2019/10/03/it-has-been-a-torrid-week-for-indian-banks,True
41,877751828,20191006,"Krasnaya Zvezda, Tambovskaya Oblast', Russia",RUSSIAN,SWITZERLAND,https://sputniknews.com/military/201910071076976002-russia-detected-over-30-missile-launches-globally-in-2019/,True
42,877623602,20191006,"Kashmir, North-West Frontier, Pakistan",MARYLAND,PAKISTAN,https://www.ctpost.com/news/world/article/10-injured-in-blast-in-India-administered-Kashmir-14494503.php,True
43,877679643,20191006,"Honolulu, Hawaii, United States",DOCTOR,,http://www.mi-reporter.com/opinion/breaking-barriers-windows-and-mirrors/,False
44,877749777,20191006,"Jackson County, Missouri, United States",,UNITED STATES,https://www.kttn.com/jackson-county-counselor-pleads-guilty-to-medicaid-fraud/,True
45,877623600,20191006,"New Delhi, Delhi, India",MARYLAND,PAKISTAN,https://www.ctpost.com/news/world/article/10-injured-in-blast-in-India-administered-Kashmir-14494503.php,True
46,877626416,20191006,"Quebec, Quebec, Canada",FRANCE,CANADA,https://www.narcity.com/news/ca/sugar-sammys-canadian-tour-announcement-mocks-maxime-bernier,False
47,877619249,20191006,"White House, District of Columbia, United States",UNITED STATES,,https://www.houstonchronicle.com/news/article/Trump-will-deny-visas-to-immigrants-who-lack-14494106.php,False
48,877666072,20191006,France,EUROPE,GERMAN,http://www.koreatimes.co.kr/www/opinion/2019/10/197_276722.html,False
49,877750164,20191006,,LAWYER,POLICE OFFICER,https://www.premiumtimesng.com/news/more-news/356256-lawyer-accuses-nigerian-police-of-sabotaging-robbery-investigation.html,True
50,877747326,20191006,"Broadkill Hundred, Delaware, United States",UNITED STATES,,https://www.capegazette.com/article/4th-annual-king-cole-cannery-celebrity-chef-cook-set-oct-23/189392,False
51,877682506,20191006,,BAHRAIN,,http://www.tradearabia.com/news/IT_359455.html,False
52,877735844,20191006,,GHANA,GOVERNMENT,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Vice-President-presents-the-Most-Outstanding-Teacher-Prize-Award-for-2019-786859,False
53,877643507,20191006,Ukraine,UKRAINE,UKRAINE,https://www.rawstory.com/2019/10/we-need-to-close-ranks-like-the-mafia-snl-roasts-giuliani-and-pompeos-panic-over-ukraine-scandal/,False
54,877744938,20191006,"Baghlan, Baghlan, Afghanistan",AFGHAN,TALIBAN,https://tribune.com.pk/story/2073740/2-afghan-taliban-say-freed-3-indian-hostages-exchange-11-members/,False
55,877751793,20191006,"Azad Kashmir, Azad Kashmir, Pakistan",PAKISTAN,,https://en.haberler.com/pakistan-allows-us-senators-to-visit-azad-kashmir-1379540/,False
56,877697142,20191006,"Ikoyi, Nigeria (general), Nigeria",,,http://saharareporters.com/2019/10/06/court-hear-suit-buhari%E2%80%99s-refusalto-hand-over-power-osinbajo-during-foreign-visit-monday,False
57,877630443,20191006,Libya,,BENGHAZI,https://elkodaily.com/news/world/pompeo-blasts-ukraine-critics-for-silly-gotcha-game/article_133edbf1-251c-5d0f-b411-023bd212b9f9.html,True
58,877705317,20191006,Ireland,,LATVIA,http://www.digitaljournal.com/news/world/uk-signals-it-could-soften-brexit-stances-amid-eu-pressure/article/559274,False
59,877746151,20191006,"Tokyo, Tokyo, Japan",VIETNAM,,https://www.sofmag.com/oss-in-action-the-pacific-and-the-far-east/,True
60,877624481,20191006,"Virginia, United States",COMPANY,,https://www.theday.com/military-news/20191005/navys-newest-attack-submarine-is-christened-as-crowd-of-6000-looks-on,False
61,877618125,20191006,"Abilene, Texas, United States",COMMUNITY,,https://www.reporternews.com/story/news/2019/10/05/dance-discovery-abilene-recovery-after-may-2019-tornao/2368347001/,False
62,877695041,20191006,"Thuyen, Tinh Quang Tri, Vietnam, Republic Of",VIETNAM,GOVERNMENT,https://e.vnexpress.net/news/news/xuan-quynh-first-vietnamese-woman-on-google-doodle-3992620.html,False
63,877682611,20191006,Brazil,CATHOLIC,,https://www.dw.com/en/pope-francis-opens-divisive-debate-on-preserving-the-amazon/a-50714151,False
64,877751839,20191006,"Krasnaya Zvezda, Tambovskaya Oblast', Russia",RUSSIA,,https://sputniknews.com/military/201910071076976002-russia-detected-over-30-missile-launches-globally-in-2019/,True
65,877675051,20191006,"Akwa Ibom State, Akwa Ibom, Nigeria",NIGERIA,NIGERIA,https://www.informationng.com/2019/10/nigerian-newspaper-headlines-today-6th-october-2019.html,False
66,877633981,20191006,India,CHINA,AFGHANISTAN,https://www.dawn.com/news/1509284,True
67,877725724,20191006,"Volcanoes National Park, Nord, Rwanda",ASSAILANT,TOURIST,http://news.trust.org/item/20191006171459-puns8,False
68,877703576,20191006,"Georgia, United States",SCHOOL,JAMAICA,https://lompocrecord.com/news/local/military/vandenberg/stories-of-honor---sandy-blair-empowering-women-veterans/article_523879ca-28c5-5c2b-9c39-8abf1555f6a0.html,False
69,877695877,20191006,"Paris, France (general), France",,SAUDI ARABIA,http://www.theleadersnews.com/why-did-saudis-decide-to-expand-their-relations-with-albania/,False
70,877675080,20191006,"Warsaw, (PL67), Poland",,,http://biznespolska.pl/thomas-cooks-polish-business-shuts-down-abandons-3600-poles-on-vacation/,False
71,877716620,20191006,"Orange County, California, United States",AUTHORITIES,LOS ANGELES,https://oklahoman.com/article/feed/9963168/the-latest-authorities-several-hurt-in-festival-explosion,False
72,877635850,20191006,Ukraine,OBAMA,BENGHAZI,https://www.timesofisrael.com/amid-whistleblower-probe-pompeo-defends-pressuring-allies/,True
73,877613503,20191006,"Pyongyang, P'yongyang-si, North Korea",,NORTH KOREA,https://www.bozemandailychronicle.com/ap_news/international/pompeo-says-he-s-hopeful-about-nuclear-talks-with-north/article_610f02e5-9268-5328-bcf3-ccc6b1ecd177.html,False
74,877638804,20191006,"Yamuna, India (general), India",BUDDHISM,JAINISM,https://www.americanbazaaronline.com/2019/10/05/adi-shankara-hinduisms-greatest-thinker-review-439002/,False
75,877661362,20191006,"Pondichery, Pondicherry, India",FRANCE,PRIEST,http://www.bellevision.com?action=topnews&type=21512,False
76,877623233,20191006,Iraq,NETHERLANDS,,https://www.ksdk.com/article/news/nation-world/museum-bible-questioned-artifact-replaced-astronaut-moon/63-158c9965-3d52-4ce5-811b-1ceb3fe4c07a,False
77,877677749,20191006,"Porto, Porto, Portugal",COMPANY,PORTUGUESE,https://www.timesofisrael.com/new-citizenship-in-hand-israelis-vote-from-abroad-in-portuguese-elections/,False
78,877637651,20191006,"Philadelphia, Pennsylvania, United States",HUNTER,UNITED STATES,https://www.timesunion.com/news/article/Biden-faced-challenge-struggled-for-response-14495473.php,False
79,877627186,20191006,"Colorado, United States",UNITED STATES,REPRESENTATIVES,http://www.theheraldtimes.com/anniversary-at-milk-creek-site-unites-cultures/meeker/,False
80,877630178,20191006,"New Hampshire, United States",UNITED STATES,CRIMINAL,https://www.gainesvilletimes.com/columnists/harris-blackwood/governor-please-dont-pick-a-dude-for-the-senate/,False
81,877697512,20191006,"Illinois, United States",OHIO,,https://www.journalstandard.com/opinion/20191006/illinois-ranked-least-tax-friendly-state,False
82,877616941,20191006,Libya,GREECE,BENGHAZI,https://hamodia.com/2019/10/05/pompeo-blasts-ukraine-critics-silly-gotcha-game/,True
83,877708043,20191006,"Milledgeville, Illinois, United States",UNITED STATES,UNITED STATES,https://wqad.com/2019/10/06/car-vs-tractor-crash-in-whiteside-county-reportedly-kills-9-year-old-passenger/,False
84,877751837,20191006,"Krasnaya Zvezda, Tambovskaya Oblast', Russia",RUSSIAN,,https://sputniknews.com/military/201910071076976002-russia-detected-over-30-missile-launches-globally-in-2019/,True
85,877625395,20191006,,UNITED STATES,CONGRESS,https://mtstandard.com/news/state-and-regional/govt-and-politics/interior-secretary-hears-concerns-about-grizzlies-along-the-front/article_7b252942-209b-5abf-b9e5-d120b94b6601.html,False
86,877629730,20191006,"San Francisco, California, United States",ADMINISTRATION,CALIFORNIA,https://nz.finance.yahoo.com/news/california-versus-trump-chance-high-195106912.html,False
87,877720750,20191006,"Molins, Champagne-Ardenne, France",FRENCH,KARACHI,https://www.irishtimes.com/news/world/europe/a-murky-tale-of-arms-sales-and-kickbacks-reaches-court-in-paris-1.4041899,False
88,877704224,20191006,"Kiev, Ukraine (general), Ukraine",UKRAINE,KIEV,http://en.rfi.fr/wire/20191006-thousands-protest-ukraine-leaders-peace-plan-0,False
89,877614894,20191006,"New Hampshire, United States",SOUTH CAROLINA,,https://www.eveningtelegraph.co.uk/2019/10/05/democrat-bernie-sanders-heads-home-after-heart-op/,False
90,877666279,20191006,Iran,IRAN,BUSINESS,https://www.americanthinker.com/blog/2019/10/trumps_godfather_moment.html,False
91,877649126,20191006,"Kilmacolm, Inverclyde, United Kingdom",UNITED KINGDOM,SCIENTIST,https://www.heraldscotland.com/opinion/17949857.herald-sunday-letters-readers-talking-week/,False
92,877664304,20191006,,ACTOR,CANADA,http://mauritiusnews.info/mn/index.php/component/k2/item/28827-deadpool-2-stuntwoman-s-death-points-to-lapse-in-safety-measures,False
93,877647729,20191006,Ukraine,HUNTER,JOURNALIST,https://www.breitbart.com/2020-election/2019/10/05/virgil-the-truth-about-the-bidens-hiding-in-plain-sight/,False
94,877653062,20191006,"Kozhikode, Kerala, India",POLICE,,https://www.ndtv.com/kerala-news/kozhikoide-family-murder-case-kerala-cops-arrest-3-including-victims-wife-after-6-deaths-in-14-years-2112584,True
95,877626670,20191006,Ireland,IRISH,IRELAND,http://www.china.org.cn/world/2019-10/06/content_75274201.htm,False
