,GlobalEventID,Day,ActionGeo_Fullname,Actor1Name,Actor2Name,SOURCEURL,investigate
0,882984325,20191029,South Sudan,SOUTH SUDAN,UNITED STATES,https://www.defenceweb.co.za/joint/diplomacy-a-peace/iss-sa-ends-its-first-big-act-on-the-un-security-council/,False
1,883001105,20191029,"Aleppo, ?alab, Syria",ISLAMIC,ADMINISTRATION,https://www.sentinelsource.com/news/national_world/more-operations-targeting-isis-are-possible-after-baghdadi-raid-officials/article_63ad8880-f1fe-5031-a5f9-5494b2c9e64d.html,False
2,883121119,20191029,"Zhongping, Jilin, China",MILITARY,CHINA,http://noisyroom.net/blog/2019/10/29/big-warnings-of-china-military-expansion/,False
3,882942164,20191029,"Sopore, Jammu and Kashmir, India",,PARLIAMENTARIAN,https://sputniknews.com/asia/201910291077170799-indian-govt-criticised-for-allowing-eu-delegation-into-kashmir-while-denying-entry-to-indian-mps/,False
4,882900007,20191029,,UNITED STATES,,https://www.nytimes.com/2019/10/28/opinion/trump-human-scum-tweet.html,True
5,882968176,20191029,"Gilgil, Rift Valley, Kenya",KENYA,,https://www.nation.co.ke/news/Suspect-in-Cohen-murder-freed-on-bond/1056-5328862-lsvcmb/,False
6,883040227,20191029,"California, United States",,FIREFIGHTER,https://www.radio.com/news/woman-saves-7-dogs-from-fast-moving-california-wildfire,False
7,883126069,20191029,"Lane County, Oregon, United States",BUSINESS,,https://www.registerguard.com/news/20191029/eateries-exposed-to-measles-dealt-nightmare-scenario,False
8,883079800,20191029,"Northland, New Zealand (general), New Zealand",STAFF MEMBER,SCHOOL,https://www.nzherald.co.nz/northern-advocate/news/article.cfm?c_id=1503450&objectid=12280628,False
9,882921929,20191029,Australia,COMMUNITY,AUSTRALIA,https://thewest.com.au/lifestyle/real-estate/industry-split-on-strata-manager-qualifications-c-529098,False
10,883121548,20191029,"Saint Paul, Minnesota, United States",UNITED STATES,COMPANY,https://www.msn.com/en-us/finance/news/shark-tank-minnesota-style-connects-entrepreneurs-with-investors/ar-AAJythy,False
11,883048507,20191029,Poland,GOVERNMENT,SRINAGAR,https://scroll.in/latest/942005/wont-be-part-of-pr-stunt-uk-leader-says-india-revoked-j-k-invitation-as-he-wanted-to-move-freely,False
12,882916551,20191029,"Chicago, Illinois, United States",GANG,,https://www.pjstar.com/news/20191028/prosecutor-alleged-bomb-squad-members-terrorized-peoria-with-violence,False
13,882875877,20191029,"Sussex, East Sussex, United Kingdom",,POLICE,https://www.ntnews.com.au/news/world/missing-backpackers-dad-disputes-cambodian-authorities-disappearance-theory/news-story/5c8eaafebaac1ef864005b579363834d?nk=4f7f31aa0be76c1a29754794e350cac7-1572306407,False
14,883084623,20191029,Ireland,BRITISH,,http://www.advertiser.ie/galway/article/111127/comedy-carnival-laughter-in-the-eyre-in-spite-of-brexit,False
