,GlobalEventID,Day,ActionGeo_Fullname,Actor1Name,Actor2Name,SOURCEURL,investigate
0,882533786,20191027,"Edinburgh, Edinburgh, City of, United Kingdom",MERCHANT,,https://www.thenorthernecho.co.uk/business/17991183.rising-star-andrew-northallerton-building-success/,False
1,882591824,20191027,"Cumar, Diyarbakir, Turkey",TURKEY,EUROPE,https://www.thecanary.co/exclusive/2019/10/26/the-things-i-have-seen-the-truth-about-seeking-asylum-in-the-uk/,False
2,882625898,20191027,,COMMUNITY,UNITED STATES,https://www.portsmouth-dailytimes.com/news/42499/childrens-hunger-alliance-recognized-by-eastern-local-schools,False
3,882616701,20191027,"Hunts Bay, Saint Elizabeth, Jamaica",KINGSTON,POLICE,http://www.jamaicaobserver.com/latestnews/Man_shot_dead_on_Maxfield_Avenue_?profile=1228,True
4,882574142,20191027,"Tehran, Tehran, Iran",IRAN,THE US,https://gulfnews.com/opinion/op-eds/global-community-needs-to-keep-up-pressure-on-iran-1.67401584,False
5,882575631,20191027,Syria,IRAQ,AMERICAN,https://www.joplinglobe.com/opinion/columns/geoff-caldwell-house-democrats-damage-the-constitution-they-claim-to/article_da04f1e2-916d-5c0b-a8ce-aee3cdee8834.html,False
6,882516752,20191027,Trinidad And Tobago,,TRINIDAD AND TOBAGO,http://www.guardian.co.tt/news/cashless-costaatt-6.2.971155.2c8a76ffc0,False
7,882527976,20191027,Iceland,DENMARK,,https://www.kpcnews.com/opinions/article_02dff158-001a-5496-b6bb-3b3b7a61bda2.html,False
8,882573808,20191027,"Durban, KwaZulu-Natal, South Africa",AFRICA,DURBAN,https://www.iol.co.za/news/south-africa/kwazulu-natal/man-dies-as-car-catches-alight-three-others-injured-in-durban-horror-crash-36035929,False
9,882646358,20191027,"Tshwane, Limpopo, South Africa",PARTY LEADER,CONGRESS,https://city-press.news24.com/News/race-to-replace-maimane-these-leaders-will-fight-for-top-da-job-20191028,False
10,882618332,20191027,Israel,WRITER,,https://www.stamfordadvocate.com/policereports/article/Synagogues-increase-security-after-bomb-threat-in-14566292.php,False
11,882630512,20191027,"Sinaloa, Tabasco, Mexico",,SECURITY FORCE,https://www.nwitimes.com/news/world/mexican-president-defends-retreat-in-face-of-cartel-violence/article_bf0102f4-e278-5a36-b716-bf12cd1b9cb4.html,False
12,882573824,20191027,"London, London, City of, United Kingdom",BELGIUM,GANG,https://edmontonjournal.com/news/world/im-dying-i-cant-breathe-woman-believed-among-39-found-dead-in-british-truck-sent-desperate-texts-to-mother/wcm/f9b7539b-641c-4211-8854-0790f33af3ba,False
13,882620011,20191027,"Irina, Niger, Nigeria",RUSSIA,NIGERIA,https://www.vogue.co.uk/arts-and-lifestyle/article/best-political-dramas-2019,False
14,882620010,20191027,Serbia,RUSSIA,EUROPE,https://www.irishtimes.com/news/world/europe/balkan-leaders-head-for-brussels-with-eu-hopes-under-a-cloud-1.4064238,False
15,882514731,20191027,"Accra, Greater Accra, Ghana",CRIMINAL,,https://www.businessghana.com/site/news/General/199013/Government,True
16,882562199,20191027,"Walthamstow, Waltham Forest, United Kingdom",MINIST OF DEFENCE,UNITED KINGDOM,https://www.dailymail.co.uk/news/article-7618477/Boris-Johnson-backs-secret-plan-bring-60-children-British-jihadi-brides-UK.html,False
17,882546740,20191027,"Idlib, Idlib, Syria",MINORITIES,,https://www.jpost.com/Middle-East/Reports-US-targeted-ISIS-leader-near-Turkish-border-raises-questions-605937,False
18,882507173,20191027,Japan,,,https://www.seattlepi.com/news/article/Niece-hopes-to-return-World-War-II-soldier-s-14564554.php,False
19,882516891,20191027,"Chicago, Illinois, United States",POLICE,,https://www.jacksonsun.com/story/news/2019/10/26/jpd-searching-missing-woman-infant-son/2473679001/,False
20,882519824,20191027,"Drake University, Iowa, United States",UNIVERSITY,UNITED STATES,https://townhall.com/tipsheet/bronsonstocking/2019/10/26/nancy-pelosi-defends-impeachment-worries-about-dividing-country-n2555399,False
21,882587166,20191027,"Washington, District of Columbia, United States",JUDGE,WASHINGTON,https://www.wnpr.org/post/judge-orders-doj-hand-over-mueller-material-validates-impeachment-probe,False
22,882613046,20191027,"Kabul, Kabol, Afghanistan",THE US,TALIBAN,http://www.afghanistantimes.af/karzai-unhappy-with-delay-in-intra-afghan-talks/,False
23,882515025,20191027,"Islamabad, Islamabad, Pakistan",WORKER,HOSPITAL,https://dailytimes.com.pk/490245/ihc-grants-nawaz-interim-bail-in-al-azizia-reference/,False
24,882569002,20191027,Syria,SYRIA,PRESIDENT,http://www.chicagotribune.com/sns-bc-us--united-states-syria-20191016-story.html,False
25,882607053,20191027,"Moscow, Moskva, Russia",UNITED STATES,,https://www.rawstory.com/2019/10/russian-military-undercuts-trump-by-expressing-valid-doubts-about-the-reality-and-success-of-isis-raid/,False
26,882637519,20191027,Australia,UNITED KINGDOM,HOSPITAL,https://www.newidea.com.au/exclusive-sophie-delezios-move-to-london,False
27,882633334,20191027,"Ohio, United States",,UNITED STATES,https://flyernews.com/opinion/opinion-who-won-ohios-democratic-primary-debate/10/27/2019/,False
28,882500654,20191027,United Kingdom,,UNITED KINGDOM,https://timesofindia.indiatimes.com/city/bhopal/61-year-old-british-national-working-for-metro-rail-dies/articleshow/71780611.cms,False
29,882556608,20191027,Ireland,AMERICAN,IRISH,https://www.thecork.ie/2019/10/27/keep-your-fracking-gas/,False
30,882525100,20191027,"Maine, United States",JUDGE,MAINE,https://thehill.com/blogs/blog-briefing-room/news/467610-judge-blocks-suspension-of-maine-student-over-rape-awareness,False
31,882621229,20191027,"Baghdad, Baghdad, Iraq",IRAN,IRAQ,https://iranian.com/2019/10/27/iran-says-carefully-monitoring-iraq-protests/,True
32,882559294,20191027,"Houston, Texas, United States",EMPLOYEE,,http://baytownsun.com/opinion/article_f3d194ac-f84c-11e9-b6a4-9beee54f658b.html,True
33,882550064,20191027,"Brussels, Bruxelles-Capitale, Belgium",UNITED KINGDOM,,https://www.today.ng/news/world/brexit-extension-259738,False
34,882587544,20191027,United States,UNITED STATES,LIBYA,https://lana-news.ly/art.php?id=157217&lang=en&p=1,True
35,882625010,20191027,Afghanistan,BILL CLINTON,THE US,https://www.independent.co.uk/news/world/americas/us-politics/trump-osama-bin-laden-prediction-fact-check-baghdadi-death-al-qaeda-isis-a9173476.html,False
36,882591835,20191027,Syria,TURKISH,SYRIA,https://kvia.com/your-voice-your-vote/politics/2019/10/27/trumps-playing-a-game-of-russian-roulette/,False
37,882536947,20191027,"Hanoi, Ha N?i, Vietnam, Republic Of",VIETNAM,,https://e.vnexpress.net/news/news/university-vice-principals-arrested-for-selling-diplomas-4002931.html,True
38,882542121,20191027,Russia,MILITARY,SYRIA,https://www.firstpost.com/world/islamic-state-leader-abu-bakr-al-baghdadi-is-believed-to-have-been-killed-in-us-military-raid-in-syria-says-local-media-7560251.html,False
39,882513803,20191027,"Phoenix, Arizona, United States",CAPTAIN,PITTSBURGH,https://abc13.com/southwest-denies-cameras-were-hidden-in-plane-bathroom/5649894/,False
40,882524768,20191027,"London, London, City of, United Kingdom",POLICE,,https://tuoitrenews.vn/news/society/20191027/vietnam-pm-orders-probe-into-human-trafficking-allegations-in-uk-truck-deaths/51675.html,True
41,882609218,20191027,Syria,,UNITED STATES,https://www.ibtimes.com/trump-describes-daring-us-raid-movie-2854719,True
42,882599720,20191027,,SAUDI,,https://www.siasat.com/sibn-delegation-vibrant-goa-success-1707450/,False
43,882520515,20191027,"Florida, United States",UNITED STATES,HIROSHIMA,https://www.wibc.com/news/local-news/newest-version-uss-indianapolis-commissioned,False
44,882524240,20191027,"Indiana, United States",UNITED STATES,UNITED STATES,https://www.breitbart.com/politics/2019/10/26/report-abortionist-klopfer-competed-for-most-abortions-performed-in-one-day/,True
