,GlobalEventID,Day,ActionGeo_Fullname,Actor1Name,Actor2Name,SOURCEURL,investigate
0,878643551,20191010,"Bahamas, The",BAHAMA,,https://www.cnbc.com/2019/10/10/reuters-america-jpmorgan-targets-asias-growing-wealth-with-singapore-trust-company.html,False
1,878653100,20191010,,TURKMEN,PAKISTAN,https://www.azernews.az/region/157065.html,False
2,878747406,20191010,France,SCHOOL,FRANCE,https://www.elystandard.co.uk/news/king-s-ely-programme-wins-top-award-1-6317183,False
3,878792584,20191010,"Wallowa Lake, Oregon, United States",UNITED STATES,BUSINESS,https://www.eastoregonian.com/news/state/state-s-no-hunting-buffer-removed-from-wallowa-lake-area/article_3d4bb08b-38af-51e4-b42f-5f54d642e29e.html,False
4,878779223,20191010,"Wrentham, Massachusetts, United States",,SCHOOL,https://wrentham.wickedlocal.com/news/20191010/thinking-outside-kp-seniors-aim-to-get-kids-connected-to-earth,False
5,878772033,20191010,"Tihar, Uttar Pradesh, India",,DELHI,https://www.freepressjournal.in/india/aircel-maxis-case-ed-asks-delhi-court-to-cancel-anticipatory-bail-of-chidambaram-and-son-seeks-custodial-interrogation,False
6,878572336,20191010,"London, London, City of, United Kingdom",FIREFIGHTER,NORTH WEST,https://www.mirror.co.uk/news/uk-news/breaking-perivale-fire-80-firefighters-20549327,False
7,878764066,20191010,"Manila, Manila, Philippines",PHILIPPINE,,https://catholicstarherald.org/awards-draw-attention-to-most-vulnerable/,False
8,878595367,20191010,"Euphrates River, Al Anbar, Iraq",AL QAEDA,BASHAR AL ASSAD,https://www.wsws.org/en/articles/2019/10/10/turk-o10.html,False
9,878544333,20191010,"Berlin, Berlin, Germany",GERMANY,DONALD TUSK,http://www.jordantimes.com/news/world/britain-eu-hold-last-ditch-brexit-talks-deadline-looms,False
10,878556409,20191010,"Kyiv, Kyyiv, Misto, Ukraine",LAWYER,,https://www.newsday.com/long-island/politics/trump-biden-impeachment-syria-kurds-evangelicals-1.37340079,False
11,878726631,20191010,"Atrato, Magdalena, Colombia",COLOMBIA,FARC,http://humanitariannews.org/20191010/toxic-river-mining-mercury-murder-continue-plague-colombia-s-atrato,False
12,878537885,20191010,"Poway, California, United States",CALIFORNIA,,https://hamodia.com/2019/10/09/two-people-killed-terror-attack-targeting-german-synagogue-yom-kippur/,False
13,878706845,20191010,"Arkansas, United States",UNITED STATES,,https://www.bizpacreview.com/2019/10/10/tom-cotton-unloads-on-ig-atkinson-over-evasive-and-obstructive-testimony-about-anti-trump-whistleblower-837386,False
14,878538284,20191010,"White House, District of Columbia, United States",UNITED STATES,SYRIA,https://wnmtradio.com/news/articles/2019/oct/09/breaking-with-trump-us-republicans-press-for-response-to-turkey-over-syria/945652/,False
15,878617076,20191010,"Capitol Hill, District of Columbia, United States",UNITED STATES,,https://www.independent.ie/world-news/north-america/us-house-democrats-seeking-way-around-white-house-on-impeachment-38580894.html,False
16,878764709,20191010,,INDIGENOUS,QUITO,https://www.ibtimes.com/indigenous-group-rejects-talks-issues-call-radicalize-protests-2843194,False
17,878604471,20191010,"Pasig City, City of Pasig, Philippines",PHILIPPINE,,https://www.rappler.com/nation/242194-bfp-clears-lrta-probe-damage-week-after-lrt2-fire,False
18,878770785,20191010,"Miami, Florida, United States",AMERICAN,BOEING,https://www.businessinsider.in/business/news/after-a-summerlong-meltdown-american-airlines-is-shaking-up-its-leadership-to-fix-the-damage-done-by-months-of-operational-mishaps/articleshow/71529497.cms,False
